Guest,Preference_Guest,Preference_Score
1,2,10
1,3,-5
2,3,7
2,4,-3
3,4,2
4,5,8
5,6,-4
6,7,6
7,8,-2
8,9,5
9,10,-1
10,11,4
11,12,-3
12,13,7
13,14,-6
14,15,3
15,16,-2
16,17,5
17,18,-4
18,19,6
19,20,-3
20,21,7
21,22,-5
22,23,4
23,24,-2
24,25,6
25,26,-1
26,27,5
27,28,-3
28,29,7
29,30,-4
30,31,6
31,32,-2
32,33,5
33,34,-1
34,35,4
35,36,-3
36,37,7
37,38,-5
38,39,6
39,40,-2
40,41,5
41,42,-1
42,43,4
43,44,-3
44,45,7
45,46,-6
46,47,5
47,48,-2
48,49,6
49,50,-1
50,51,4
51,52,-3
52,53,7
53,54,-5
54,55,6
55,56,-2
56,57,5
57,58,-1
58,59,4
59,60,-3
60,1,7
