Guest,Preference_Guest,Preference_Score
Guest1,Guest2,10
Guest1,Guest3,-5
Guest2,Guest3,7
Guest2,Guest4,-3
Guest3,Guest4,2
Guest4,Guest5,8
Guest5,Guest6,-4
Guest6,Guest7,6
Guest7,Guest8,-2
Guest8,Guest9,5
Guest9,Guest10,-1
Guest10,Guest11,4
Guest11,Guest12,-3
Guest12,Guest13,7
Guest13,Guest14,-6
Guest14,Guest15,3
Guest15,Guest16,-2
Guest16,Guest17,5
Guest17,Guest18,-4
Guest18,Guest19,6
Guest19,Guest20,-3
Guest20,Guest21,7
Guest21,Guest22,-5
Guest22,Guest23,4
Guest23,Guest24,-2
Guest24,Guest25,6
Guest25,Guest26,-1
Guest26,Guest27,5
Guest27,Guest28,-3
Guest28,Guest29,7
Guest29,Guest30,-4
Guest30,Guest31,6
Guest31,Guest32,-2
Guest32,Guest33,5
Guest33,Guest34,-1
Guest34,Guest35,4
Guest35,Guest36,-3
Guest36,Guest37,7
Guest37,Guest38,-5
Guest38,Guest39,6
Guest39,Guest40,-2
Guest40,Guest41,5
Guest41,Guest42,-1
Guest42,Guest43,4
Guest43,Guest44,-3
Guest44,Guest45,7
Guest45,Guest46,-6
Guest46,Guest47,5
Guest47,Guest48,-2
Guest48,Guest49,6
Guest49,Guest50,-1
Guest50,Guest51,4
Guest51,Guest52,-3
Guest52,Guest53,7
Guest53,Guest54,-5
Guest54,Guest55,6
Guest55,Guest56,-2
Guest56,Guest57,5
Guest57,Guest58,-1
Guest58,Guest59,4
Guest59,Guest60,-3
Guest60,Guest1,7
