Guest,Preference_Guest,Preference_Score
Guest1,Guest2,10
Guest1,Guest3,-5
Guest2,Guest3,7
Guest2,Guest4,-3
Guest3,Guest4,2
Guest4,Guest5,8
Guest5,Guest6,-4
Guest6,Guest7,6
Guest7,Guest8,-2
Guest8,Guest9,5
Guest9,Guest10,-1
Guest10,Guest11,4
Guest11,Guest12,-3
Guest12,Guest13,7
Guest13,Guest14,-6
Guest14,Guest15,3
Guest15,Guest16,-2
Guest16,Guest17,5
Guest17,Guest18,-4
Guest18,Guest19,6
Guest19,Guest20,-3
Guest20,Guest21,7
Guest21,Guest22,-5
Guest22,Guest23,4
Guest23,Guest24,-2
Guest24,Guest25,6
Guest25,Guest26,-1
Guest26,Guest27,5
Guest27,Guest28,-3
Guest28,Guest29,7
Guest29,Guest30,-4
Guest30,Guest31,6
Guest31,Guest32,-2
Guest32,Guest33,5
Guest33,Guest34,-1
Guest34,Guest35,4
Guest35,Guest36,-3
Guest36,Guest37,7
Guest37,Guest38,-5
Guest38,Guest39,6
Guest39,Guest40,-2
Guest40,Guest41,5
Guest41,Guest42,-1
Guest42,Guest43,4
Guest43,Guest44,-3
Guest44,Guest45,7
Guest45,Guest46,-6
Guest46,Guest47,5
Guest47,Guest48,-2
Guest48,Guest49,6
Guest49,Guest50,-1
Guest50,Guest51,4
Guest51,Guest52,-3
Guest52,Guest53,7
Guest53,Guest54,-5
Guest54,Guest55,6
Guest55,Guest56,-2
Guest56,Guest57,5
Guest57,Guest58,-1
Guest58,Guest59,4
Guest59,Guest60,-3
Guest60,Guest61,7
Guest61,Guest62,-5
Guest62,Guest63,6
Guest63,Guest64,-2
Guest64,Guest65,5
Guest65,Guest66,-1
Guest66,Guest67,4
Guest67,Guest68,-3
Guest68,Guest69,7
Guest69,Guest70,-6
Guest70,Guest71,3
Guest71,Guest72,-2
Guest72,Guest73,5
Guest73,Guest74,-4
Guest74,Guest75,6
Guest75,Guest76,-3
Guest76,Guest77,7
Guest77,Guest78,-5
Guest78,Guest79,6
Guest79,Guest80,-2
Guest80,Guest81,5
Guest81,Guest82,-1
Guest82,Guest83,4
Guest83,Guest84,-3
Guest84,Guest85,7
Guest85,Guest86,-6
Guest86,Guest87,5
Guest87,Guest88,-2
Guest88,Guest89,6
Guest89,Guest90,-1
Guest90,Guest91,4
Guest91,Guest92,-3
Guest92,Guest93,7
Guest93,Guest94,-5
Guest94,Guest95,6
Guest95,Guest96,-2
Guest96,Guest97,5
Guest97,Guest98,-1
Guest98,Guest99,4
Guest99,Guest100,-3
Guest100,Guest101,7
Guest101,Guest102,-5
Guest102,Guest103,6
Guest103,Guest104,-2
Guest104,Guest105,5
Guest105,Guest106,-1
Guest106,Guest107,4
Guest107,Guest108,-3
Guest108,Guest109,7
Guest109,Guest110,-6
Guest110,Guest111,3
Guest111,Guest112,-2
Guest112,Guest113,5
Guest113,Guest114,-4
Guest114,Guest115,6
Guest115,Guest116,-3
Guest116,Guest117,7
Guest117,Guest118,-5
Guest118,Guest119,6
Guest119,Guest120,-2
Guest120,Guest121,5
Guest121,Guest122,-1
Guest122,Guest123,4
Guest123,Guest124,-3
Guest124,Guest125,7
Guest125,Guest126,-6
Guest126,Guest127,5
Guest127,Guest128,-2
Guest128,Guest129,6
Guest129,Guest130,-1
Guest130,Guest131,4
Guest131,Guest132,-3
Guest132,Guest133,7
Guest133,Guest134,-5
Guest134,Guest135,6
Guest135,Guest136,-2
Guest136,Guest137,5
Guest137,Guest138,-1
Guest138,Guest139,4
Guest139,Guest140,-3
Guest140,Guest141,7
Guest141,Guest142,-5
Guest142,Guest143,6
Guest143,Guest144,-2
Guest144,Guest145,5
Guest145,Guest146,-1
Guest146,Guest147,4
Guest147,Guest148,-3
Guest148,Guest149,7
Guest149,Guest150,-6
Guest150,Guest151,3
Guest151,Guest152,-2
Guest152,Guest153,5
Guest153,Guest154,-4
Guest154,Guest155,6
Guest155,Guest156,-3
Guest156,Guest157,7
Guest157,Guest158,-5
Guest158,Guest159,6
Guest159,Guest160,-2
Guest160,Guest161,5
Guest161,Guest162,-1
Guest162,Guest163,4
Guest163,Guest164,-3
Guest164,Guest165,7
Guest165,Guest166,-6
Guest166,Guest167,5
Guest167,Guest168,-2
Guest168,Guest169,6
Guest169,Guest170,-1
Guest170,Guest171,4
Guest171,Guest172,-3
Guest172,Guest173,7
Guest173,Guest174,-5
Guest174,Guest175,6
Guest175,Guest176,-2
Guest176,Guest177,5
Guest177,Guest178,-1
Guest178,Guest179,4
Guest179,Guest180,-3
Guest180,Guest181,7
Guest181,Guest182,-5
Guest182,Guest183,6
Guest183,Guest184,-2
Guest184,Guest185,5
Guest185,Guest186,-1
Guest186,Guest187,4
Guest187,Guest188,-3
Guest188,Guest189,7
Guest189,Guest190,-6
Guest190,Guest191,3
Guest191,Guest192,-2
Guest192,Guest193,5
Guest193,Guest194,-4
Guest194,Guest195,6
Guest195,Guest196,-3
Guest196,Guest197,7
Guest197,Guest198,-5
Guest198,Guest199,6
Guest199,Guest200,-2
Guest200,Guest1,5
